URL, Price, Title, Author, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition,,,,
https://www.flipkart.com/indian-polity-5/p/itmf7tkbfg8kw4fx?pid=9789352603633&lid=LSTBOK9789352603633HXBDWT&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=5c23fa2f-fbb4-40ff-bce7-e9f3bf1b3848.9789352603633.SEARCH,Rs: 484, Indian Polity 5 Edition,  M. Laxmikanth,English,Paper back,Mcgrawhill,Academic & Test Preparation, 935260363X,9.78935E+12,850,May-16, ,,,
https://www.flipkart.com/pathfinder-nda-na-national-defence-academy-naval-entrance-examination/p/itmffzvfnyfzwtjf?pid=9789312146736&lid=LSTBOK9789312146736EKJ8LW&marketplace=FLIPKART&srno=b_2_47&otracker=browse&fm=organic&iid=a624e2ff-df49-4aa6-81db-6e487ff6e6de.9789312146736.SEARCH,Rs: 484, Pathfinder for Nda & Na National Defence Academy Naval Academy Entrance Examination,  unknown,English,Paperback,Arihant,Education,9312146734,9.78931E+12, , , ,,,
https://www.flipkart.com/attitude-is-everything/p/itmfbyjgqwayh3my?pid=9789351772071&lid=LSTBOK97893517720710CDYJK&marketplace=FLIPKART&srno=b_2_48&otracker=browse&fm=organic&iid=70eac5cd-a141-43ea-bdd3-c4edc66660e2.9789351772071.SEARCH,Rs: 112, ATTITUDE IS EVERYTHING,  Jeff Keller,English,Paperback,Harper,Self-Help,9351772071,9.78935E+12, ,1st Edition, ,,,
https://www.flipkart.com/cbse-previous-8-years-chapterwise-solved-question-bank-mathematics-class-10-2019-examination/p/itmf4wt28gctuwjy?pid=9789387672925&lid=LSTBOK9789387672925A0HDF0&marketplace=FLIPKART&srno=b_2_49&otracker=browse&fm=organic&iid=55d9c2d7-fd20-45ac-9803-68f7aeaeeab5.9789387672925.SEARCH,Rs: 157, CBSE Previous 8 + Years Chapterwise Solved Question Bank Mathematics Class 10 for 2019 Examination,  Rachna Sagar,English,Paperback,Rachna Sagar,Examination,9387672921,9.78939E+12, ,New Edition- 2019, ,,,
https://www.flipkart.com/diary-young-girl/p/itmfbug4pey2us82?pid=9788172345198&lid=LSTBOK9788172345198CTT30X&marketplace=FLIPKART&srno=b_2_50&otracker=browse&fm=organic&iid=en_vloEqV9gmI8c2XQXOZ8bP6FdP%2F4km2uu4%2BRtyyBhKLrNQjWzSrO2HHQ%2BYiy7YzB3,Rs: 143, The Diary Of A Young Girl,  Anne Frank,English,Paperback,FINGERPRINT,Literature & Fiction,8172345194,9.78817E+12, ,2014, ,,,
https://www.flipkart.com/indian-air-force-x-y-group-technical-non-technical-includes-3-practice-sets/p/itmfybq9xhcfjrfz?pid=9789312144053&lid=LSTBOK9789312144053PW2FKP&marketplace=FLIPKART&srno=b_2_51&otracker=browse&fm=organic&iid=123ea8f1-15ea-4a09-922a-e304779a8d0a.9789312144053.SEARCH,Rs: 223, Indian Air Force X & Y Group Technical & Non-Technical - Includes 3 Practice Sets,  unknown,English,Paperback,Arihant,Education,9312144057,9.78931E+12,504, , ,,,
https://www.flipkart.com/the-radical-in-ambedkar/p/itmf83egwqkcggex?pid=9780670091157&lid=LSTBOK9780670091157EBDMG3&marketplace=FLIPKART&srno=b_2_52&otracker=browse&fm=organic&iid=4406b564-a411-4f18-8844-167f4ca7dda4.9780670091157.SEARCH,Rs: 600, The Radical in Ambedkar,  Teltumbde Anand,English,Hardcover,Penguin,Literary Collections,670091154,9.78067E+12,520, , ,,,
https://www.flipkart.com/java-complete-reference/p/itmfbwsmshe53uae?pid=9789387432291&lid=LSTBOK9789387432291JK4TBT&marketplace=FLIPKART&srno=b_2_53&otracker=browse&fm=organic&iid=07b6162f-e8ad-49d7-85f9-609180bb990e.9789387432291.SEARCH,Rs: 617, Java - The Complete Reference,  Schildt Herbert,English,Paperback,Mcgrawhill,Computers,9387432297,9.78939E+12, , , ,,,
https://www.flipkart.com/power-your-subconscious-mind/p/itmfawz5jdrcvuba?pid=9788192910963&lid=LSTBOK9788192910963MJHFLY&marketplace=FLIPKART&srno=b_2_54&otracker=browse&fm=organic&iid=en_vloEqV9gmI8c2XQXOZ8bP6FdP%2F4km2uu4%2BRtyyBhKLr7AsZL6MM8N%2B1ihX75YV%2Boe72YKWkJpmnlXDm6d69d7A%3D%3D,Rs: 94, The Power of Your Subconscious Mind,  Dr. Joseph Murphy,English,Paperback,Amazing Reads,Self-Help,8192910962,9.78819E+12,280,2018, ,,,
https://www.flipkart.com/engineering-electromagnetics-sie/p/itmdyd4cwrfuh7gt?pid=9789339203276&lid=LSTBOK9789339203276PCRCHP&marketplace=FLIPKART&srno=b_2_55&otracker=browse&fm=organic&iid=76c6a133-ca86-4775-88f3-1a9920718493.9789339203276.SEARCH,Rs: 399, Engineering Electromagnetics (Sie),  Hayt W.H.,English,Paperback,Mcgrawhill,Science,9339203275,9.78934E+12, , , ,,,
