Name,URL,Author,Price,No. of Ratings,Rating,ISBN
Who Will Cry When You Die?,https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1,Robin Sharma,103.00,"2,795",4.4 out of 5 stars,8179922324
The Perfect Us,https://www.amazon.in/Perfect-Us-Durjoy-Datta/dp/0143426591?_encoding=UTF8&psc=1,Durjoy Datta,103.00,424,4.7 out of 5 stars,0143426591
Pyjamas are Forgiving,https://www.amazon.in/Pyjamas-are-Forgiving-Twinkle-Khanna/dp/9386228971?_encoding=UTF8&psc=1,Not Available,163.00,230,3.4 out of 5 stars,9386228971
The Great Gatsby,https://www.amazon.in/Great-Gatsby-F-Scott-Fitzgerald/dp/8172344562?_encoding=UTF8&psc=1,F. Scott Fitzgerald,47.00,338,4.1 out of 5 stars,8172344562
The Diary of a Young Girl,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8193387600?_encoding=UTF8&psc=1,Anne Frank,59.00,752,4.5 out of 5 stars,8193387600
Certificate Physics And Human Geography; Indian Edition,https://www.amazon.in/Certificate-Physics-Human-Geography-Indian/dp/0195628160?_encoding=UTF8&psc=1,Not Available,229.00,936,4.3 out of 5 stars,0195628160
Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),https://www.amazon.in/Oswaal-Sample-Question-Social-Science/dp/9388036670?_encoding=UTF8&psc=1,Oswaal Editorial Board,126.00,24,4.6 out of 5 stars,9388036670
Objective NCERT at your Fingertips - Biology,https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/9387949222?_encoding=UTF8&psc=1,Not Available,408.00,268,4.7 out of 5 stars,9387949222
NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,https://www.amazon.in/NTA-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1,KVS Madaan,216.00,505,4.4 out of 5 stars,9332551731
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Physics,https://www.amazon.in/Chapterwise-Topicwise-Solved-2018-1979-Physics/dp/9313163292?_encoding=UTF8&psc=1,DC. Pandey,191.00,90,4.1 out of 5 stars,9313163292
